,0
743,156
744,156
745,156
746,156
747,157
748,157
749,157
750,157
751,158
752,158
753,158
754,158
755,158
756,159
757,159
758,159
759,159
760,160
761,160
762,160
763,160
764,161
765,161
766,161
767,161
768,161
769,161
770,162
771,162
772,163
773,-1
774,163
775,164
776,164
777,165
778,165
779,165
780,166
781,166
782,166
783,167
784,167
785,168
786,168
787,169
788,169
789,170
790,170
791,171
792,171
793,171
794,171
795,171
796,171
797,172
798,172
799,172
800,173
801,173
802,173
803,174
804,174
805,175
806,176
807,176
808,177
809,177
810,178
811,178
812,179
813,179
814,179
815,179
816,179
817,179
818,180
819,180
820,180
821,180
822,180
823,181
824,182
825,182
826,182
827,182
828,183
829,183
830,183
831,184
832,184
833,184
834,185
835,185
836,185
837,185
838,185
839,186
840,186
841,186
842,187
843,187
844,188
845,188
846,188
847,189
848,189
849,189
850,189
851,189
852,190
853,190
854,190
855,191
856,191
857,191
858,191
859,191
860,192
861,192
862,192
863,193
864,193
865,194
866,195
867,195
868,195
869,196
870,196
871,196
872,197
873,197
874,197
875,197
876,198
877,198
878,198
879,199
880,200
881,-1
882,-1
883,-1
884,-1
885,205
886,205
887,206
888,207
889,207
890,208
891,208
892,209
893,209
894,209
895,209
896,210
897,210
898,210
899,210
900,211
901,211
902,211
903,211
904,211
905,212
906,212
907,212
908,212
909,212
910,-1
911,-1
912,-1
913,-1
914,-1
915,214
916,214
917,214
918,215
919,215
920,215
921,215
922,216
923,216
924,216
925,217
926,217
927,218
928,218
929,218
930,219
931,-1
932,219
933,220
934,-1
935,-1
936,-1
937,-1
938,-1
939,-1
940,-1
941,-1
942,-1
943,-1
944,-1
945,-1
946,-1
947,-1
948,-1
949,-1
950,-1
951,-1
952,-1
953,-1
954,-1
955,-1
956,-1
957,-1
958,-1
959,-1
960,-1
961,-1
962,-1
963,-1
964,-1
965,-1
966,-1
967,-1
968,-1
969,-1
970,-1
971,-1
972,-1
973,-1
974,-1
975,-1
976,-1
977,-1
978,-1
979,-1
980,-1
981,-1
982,-1
983,-1
984,-1
985,-1
986,-1
987,-1
988,-1
989,-1
990,-1
991,-1
992,-1
993,-1
994,-1
995,-1
996,-1
997,-1
998,-1
999,-1
1000,-1
1001,-1
1002,-1
1003,-1
1004,-1
1005,-1
1006,-1
1007,-1
1008,-1
1009,-1
1010,-1
1011,-1
1012,-1
1013,-1
1014,-1
1015,-1
1016,-1
1017,-1
1018,-1
1019,-1
1020,-1
1021,-1
1022,-1
1023,-1
1024,-1
1025,-1
1026,-1
1027,-1
1028,-1
1029,-1
1030,-1
1031,-1
1032,-1
1033,-1
1034,-1
1035,-1
1036,-1
1037,-1
1038,-1
1039,-1
1040,-1
1041,-1
1042,-1
1043,-1
1044,-1
1045,-1
1046,-1
1047,-1
1048,-1
1049,-1
1050,-1
1051,-1
1052,-1
1053,-1
1054,-1
1055,-1
1056,-1
1057,-1
1058,-1
1059,-1
1060,-1
1061,-1
1062,-1
1063,-1
1064,-1
1065,-1
1066,-1
1067,-1
1068,-1
1069,-1
1070,-1
1071,-1
1072,-1
1073,-1
1074,-1
1075,-1
1076,-1
1077,-1
1078,-1
1079,-1
