Days Lookahead,APSNet,RF,KNN,LR,DT,SVM,NN,LSTM
5,0.95689,0.93411,0.86513,0.72529,0.89946,0.70792,0.85781,0.85840
7,0.94307,0.91678,0.82981,0.73356,0.85477,0.71393,0.85810,0.84480
15,0.93543,0.91476,0.80929,0.72060,0.83586,0.70198,0.84944,0.83775
30,0.93065,0.89910,0.78664,0.71727,0.80744,0.71892,0.84375,0.82807
45,0.92682,0.90350,0.77696,0.70114,0.80718,0.71747,0.83753,0.80278
60,0.92371,0.89235,0.75841,0.70316,0.78651,0.70268,0.81973,0.78693
90,0.92575,0.89125,0.74523,0.70956,0.79619,0.70533,0.79841,0.78202
120,0.92153,0.87984,0.72161,0.69765,0.77702,0.68744,0.78949,0.77110
