Days Lookahead,APSNet,RF,KNN,LR,DT,SVM,NN,LSTM
1,0.09430,0.12151,0.26530,0.30245,0.16900,0.29905,0.20548,0.19688
3,0.12305,0.13339,0.25800,0.29150,0.16975,0.29560,0.20024,0.22556
7,0.12405,0.12844,0.25775,0.30465,0.17670,0.30360,0.21832,0.21664
15,0.13830,0.14930,0.26615,0.29870,0.19755,0.30910,0.20420,0.21160
30,0.14348,0.16443,0.29888,0.33880,0.18836,0.28240,0.20700,0.25044
45,0.14752,0.15484,0.31288,0.34676,0.20348,0.30552,0.21620,0.24336
60,0.14972,0.16559,0.34640,0.35200,0.20352,0.34716,0.20580,0.26080
90,0.15624,0.18125,0.33624,0.36196,0.21992,0.38532,0.25820,0.27736
120,0.16136,0.20667,0.35800,0.38140,0.22972,0.42952,0.25024,0.28084
