Days Lookahead,APSNet,RF,KNN,LR,DT,SVM,NN,LSTM
5,0.09430,0.16625,0.26530,0.30245,0.21055,0.29905,0.20548,0.19688
7,0.12305,0.17660,0.25800,0.29150,0.21125,0.29560,0.20024,0.22556
15,0.12405,0.17230,0.25775,0.30465,0.21790,0.30360,0.21832,0.21664
30,0.13830,0.19050,0.26615,0.29870,0.23770,0.30910,0.20420,0.21160
45,0.14348,0.20376,0.29888,0.33880,0.22896,0.28240,0.20700,0.25044
60,0.14752,0.19536,0.31288,0.34676,0.24332,0.30552,0.21620,0.24336
90,0.14972,0.20476,0.34640,0.35200,0.24336,0.34716,0.20580,0.26080
120,0.15624,0.21844,0.33624,0.36196,0.25892,0.38532,0.25820,0.27736
