,0,1
0,0.556543648,0.466486216
1,0.315079063,0.581585109
2,0.343502074,0.553942919
3,0.254000485,0.693093181
4,0.356240362,0.710168481
5,0.149597511,0.381375223
6,0.290415019,0.455301583
7,0.572427332,0.545292914
8,0.748772919,0.400551379
9,0.243816286,0.801923096
10,0.587379038,0.470583141
11,0.181249484,0.416565865
12,0.15391615,0.480631471
13,0.238334835,0.54276824
14,0.38508302,0.496844143
15,0.418567449,0.563700795
16,0.61525619,0.505807281
17,0.119470015,0.876318872
18,0.431793451,0.560548067
19,0.281346589,0.793823183
20,0.515865386,0.678201258
21,0.124458715,0.896527171
22,0.686310887,0.187626362
23,0.51845479,0.402486563
24,0.394494981,0.838222861
25,0.440038264,0.739685237
26,0.336579442,0.610087574
27,0.3695122,0.717456222
28,0.296772599,0.901604116
29,0.266982853,0.547330737
30,0.564912736,0.704912961
31,0.456179261,0.541320622
32,0.614141464,0.494728923
33,0.887393236,0.397660792
34,0.209150791,0.675991058
35,0.547152758,0.613976955
36,0.269803107,0.514242411
37,0.327463716,0.834229231
38,0.453396797,0.489465535
39,0.114421412,0.930523694
40,0.247177482,0.523894608
41,0.526990294,0.398798943
42,0.367846489,0.747336686
43,0.674803197,0.535615265
44,0.666406214,0.174766302
45,0.525799572,0.420866549
46,0.151450977,0.857509792
47,0.240502313,0.756879389
48,0.352892488,0.614965439
49,0.101363763,0.804750085
50,0.666008234,0.485058069
51,0.471171021,0.507947922
52,0.672526479,0.293778598
53,0.693827093,0.288838208
54,0.465720445,0.704783022
55,0.266760975,0.566912353
56,0.120822363,0.811742127
57,0.170194224,0.836892664
58,0.294645369,0.736766636
59,0.197544366,0.875993729
60,0.303085834,0.690048695
61,0.660698175,0.244907916
62,0.366321892,0.795461059
63,0.187203288,0.632893026
64,0.450519115,0.511253953
65,0.315792143,0.774292827
66,0.520799279,0.721135795
67,0.305113524,0.759241879
68,0.235005647,0.663570285
69,0.111005388,0.41118592
70,0.229154199,0.631883681
71,0.554158568,0.451610178
72,0.350191742,0.5876894
73,0.099157751,0.765748382
74,0.43806076,0.47420454
75,0.506130695,0.368095756
76,0.333226591,0.467214704
77,0.267938107,0.725201547
78,0.345667511,0.585796177
79,0.619199038,0.321995199
80,0.389242977,0.535533547
81,0.284820706,0.773786426
82,0.460395306,0.710619271
83,0.334235609,0.853821099
84,0.660680711,0.192734048
85,0.659922481,0.62464875
86,0.294263154,0.794962704
87,0.092112459,0.788945794
88,0.284347326,0.62299937
89,0.319716781,0.443703294
90,0.330594301,0.825177848
91,0.505795002,0.390361607
92,0.417444229,0.580366135
93,0.359838426,0.52886945
94,0.271666944,0.65069139
95,0.073891245,0.851764679
96,0.114227735,0.744134247
97,0.188645437,0.693609178
98,0.280778885,0.840237379
99,0.103288278,0.857489705
100,0.66059655,0.475075632
101,0.401295483,0.521573722
102,0.324161947,0.492342442
103,0.189989954,0.392400026
104,0.214575604,0.83634603
105,0.48953405,0.419706255
106,0.236009687,0.511849701
107,0.425265968,0.672713757
108,0.126990154,0.375736684
109,0.666405201,0.174765274
110,0.200264826,0.698125541
111,0.327342361,0.567058325
112,0.679650068,0.486043036
113,0.281958759,0.651356161
114,0.422832131,0.576392412
115,0.533541918,0.358079195
116,0.694799662,0.380153865
117,0.482508153,0.670357823
118,0.242732406,0.640473902
119,0.210989758,0.866346896
120,0.183116853,0.431331992
121,0.176899314,0.376822531
122,0.27357322,0.721582651
123,0.689640999,0.172421381
124,0.140330806,0.734180808
125,0.641279459,0.448460698
126,0.500052452,0.652582526
127,0.028871814,0.608837485
128,0.05887977,0.777469397
129,0.660678685,0.192728087
130,0.059128176,0.854232073
